Player ID,Player Name,Position,Jersey
115,Brian Opiyo Olango,Goalkeeper,41
557,Morgan Sitawa,Goalkeeper,35
809,Victor Kamungo,Goalkeeper,41
875,Brian Marani,Goalkeeper,99
339,Meshack Odhiambo,Defender,15
343,Charles Ouma Junior,Defender,44
798,Eugene Kinyua Barasa,Defender,0
800,Emmanuel Obala Otieno,Defender,37
807,Idrissu Shaibu,Defender,12
808,Stephen Bonney,Defender,2
833,Donald Gwadi,Defender,0
877,Mophat Kovelo,Defender,25
45,Tyron Kariuki,Midfielder,17
85,Japheth Lihanda Mzungu,Midfielder,71
195,Duncan Otieno,Midfielder,3
223,Clifton Miheso,Midfielder,7
331,Donato Okello,Midfielder,8
333,Joseph Kuloba,Midfielder,17
338,Derrick Khaemba,Midfielder,77
596,David Nshimirimana,Midfielder,25
698,Kelvin Kwandiva,Midfielder,0
701,Ronald Musumba,Midfielder,32
744,Adrian Oloo,Midfielder,23
747,Brian Odim,Midfielder,28
836,Daniel Nganga,Midfielder,15
847,Jermaine Khamati,Midfielder,66
860,Musa Ndusha,Midfielder,10
878,Joseph Mukwana,Midfielder,21
895,Yassin Rajab,Midfielder,16
896,Francis Ghartey,Midfielder,27
902,Malick Ntamba,Midfielder,22
928,Godwin Akpo,Midfielder,20
270,Meshack Ochieno Ochieng,Forward,18
708,Stanley Lugalia,Forward,9
